Project ID,Project Name,Project Status,Construction Status,Plannning Approval Address,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,General Housing Program,Specific Program Area,Multiphase or Multisite Project Name,Redevelopment Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed Date,Issuance of Building Permit Date,Issuance of First Construction Document Date,Estimated/Actual Construction Start Date,Estimated Construction Completion Date,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Planning Entitlements,Entitlement Approval Date,Section 415 Declaration,Total Project Units,MOHCD Affordable Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2016-091,"HPSY I, Block 48 (OCII 1)",Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94124,4591D,"123, 133, 134, 135",10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Hunters Point Ship Yard I,HP Shipyard Phase 1,New Construction,Rental,,12/31/2028,,,12/31/2028,12/31/2030,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,Not Applicable,,,,74,73,99,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,37.7278961,-122.3736053,"(37.7278961, -122.3736053)"
2023-005,629 Post,Building Rehabilitation (Pre-Construction),(2) Predevelopment Feasibility,629 Post St,94102,305,32,3,Tenderloin,Downtown/Civic Center,MOHCD,MOHCD Preservation,Big Sites Program,,Not in an OCII Project Area,Rehabilitation,Rental,06/06/2023,11/05/2025,,,11/05/2025,11/05/2026,Swords to Plowshares,,Swords to Plowshares,2022-012386PRJ,,,,62,62,100,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,37.78761864,-122.4120574,"(37.78761864, -122.4120574)"
2012-001g,Alice Griffith Phase 6 (Block 9),Pre-Construction,(2) Predevelopment Feasibility,Address not yet assigned,94124,,,10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,HOPE SF,Alice Griffith HOPE SF,Candlestick Point,New Construction,Rental,06/01/2035,06/01/2035,,,06/01/2035,,McCormack Baron Salazar,,Entity to be formed,Not Applicable,,,,131,130,99,0,0,130,0,0,0,0,13,0,130,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,37.7188128,-122.3866802,"(37.7188128, -122.3866802)"
2017-020,1726-1730 Mission,Construction,(4) Site Work Permit Issued,1726 Mission St,94103,3532,004A,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,07/31/2018,,01/29/2019,,"Reuben, Junius & Rose, LLP",,,2014-002026PRJ,"2014-002026ENV,2014-002026ENX,2014-002026PPA",06/01/2017,On-site BMR Project,40,7,18,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37.7694661,-122.4203101,"(37.7694661, -122.4203101)"
2016-128,CPS-Block 8a,Pre-Construction,(3) Design with Entitlements Approved,95 Harney Way,94124,5000,34,10,Bayview Hunters Point,Bayview,OCII,Other Ownership Programs,Limited Equity Program,,HP Shipyard Phase 2,New Construction,Ownership,,06/01/2028,,,06/01/2028,12/23/2029,,,,,,05/16/2017,,127,13,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,37.71237024,-122.3837858,"(37.71237024, -122.3837858)"
2014-006,2601 Van Ness,Construction,(4) Site Work Permit Issued,2601 Van Ness Ave,94109,522,002A,2,Marina,Marina,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,04/04/2016,,10/03/2016,,"Van Ness Terraces, LLC",,,2018-000908PRJ,,12/04/2018,On-site BMR Project; Fee Payment,60,18,30,0,0,11,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,37.79966249,-122.424537,"(37.79966249, -122.424537)"
2022-003,600 McAllister,Pre-Construction,(3) Design with Entitlements Approved,600 McAllister St,94102,768,72,5,Western Addition,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,02/09/2024,,S. Hekemian Group,,Giannini Properties No. 1,2019-014735PRJ,2019-014735CUA,02/10/2022,On-site BMR Project; Fee Payment,196,29,15,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,6,0,0,0,0,37.78006692,-122.4220877,"(37.78006692, -122.4220877)"
2023-036,530-540 Turk St,Pre-Construction,(3) Design with Entitlements Approved,530-540 Turk St,94102,741,3,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,12/05/2025,,JS Sullivan Development,,,,,12/07/2023,On-site BMR Project; Fee Payment,88,13,15,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,2,0,0,37.78257708,-122.4179359,"(37.78257708, -122.4179359)"
2019-007,400-444 Divisadero St; 1048-1062 Oak St,Pre-Construction,(3) Design with Entitlements Approved,400 Divisadero St,94117,1216,"004, 017",5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,05/21/2021,,Genesis CA Development LLC,,,2015-007816PRJ,,05/23/2019,On-site BMR Project,184,37,20,0,18,4,15,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,23,0,7,0,0,0,7,0,0,0,0,37.77343711,-122.4370127,"(37.77343711, -122.4370127)"
1990-015,Knox SRO,Building Rehabilitation (Construction),(5) First Construction Document Issued,241 6th St,94103,,,6,South of Market,South of Market,MOHCD,MOHCD 100% Affordable,Multifamily Securities Program,,Not in an OCII Project Area,Rehabilitation,Rental,,01/25/2024,07/20/1994,,01/25/2024,08/01/2025,TODCO,,TODCO,,,,,140,140,100,126,14,0,0,0,0,0,14,0,0,0,64,0,30,0,30,0,0,0,0,110,0,0,0,0,0,0,0,0,0,37.77935538,-122.4064332,"(37.77935538, -122.4064332)"
2020-014,Treasure Island E1.2 - Senior,Pre-Construction,(2) Predevelopment Feasibility,TBD Treasure Island,94130,,,6,Treasure Island,Treasure Island/YBI,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,Treasure Island,Not in an OCII Project Area,New Construction,Rental,,02/28/2026,,,02/28/2026,,Mercy Housing CA,,Mercy Housing CA,,,,,100,93,93,0,0,95,5,0,0,0,0,0,99,0,0,0,33,0,0,0,33,0,0,0,60,0,0,0,0,0,0,6,0,37.82144397,-122.3650403,"(37.82144397, -122.3650403)"
2023-021,3975 24th St,Building Rehabilitation (Construction),(5) First Construction Document Issued,3975 24th St,94114,6508,028A,8,Noe Valley,Noe Valley,MOHCD,MOHCD Preservation,Small Sites Program,,Not in an OCII Project Area,Rehabilitation,Rental,01/24/2024,10/11/2024,10/28/2024,,10/11/2024,04/01/2025,San Francisco Community Land Trust,,,,,,,6,4,67,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,37.7512213,-122.4311026,"(37.7512213, -122.4311026)"
2023-007,650 Divisadero St,Pre-Construction,(2) Predevelopment Feasibility,650 Divisadero St,94117,1202,002B,5,Hayes Valley,Western Addition,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,,,,,06/01/2028,Jonathan Rose Companies,Young Community Developers,Jonathan Rose Companies,,,,,107,106,99,0,27,26,27,26,0,0,0,106,0,0,24,0,0,0,9,0,0,97,0,0,0,0,0,0,0,0,0,0,0,37.77574182,-122.4374684,"(37.77574182, -122.4374684)"
2017-031,2918 Mission,Construction,(5) First Construction Document Issued,2918 Mission St,94110,6529,2,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,07/01/2023,11/13/2018,11/16/2021,05/14/2019,,"RRTI, Inc.",,,2014.0376,"2014.0376CUA,2014.0376ENV,2014.0376LLA,2014.0376TDM,2014.0376U,2014.0376VAR",11/09/2018,On-site BMR Project,75,8,11,0,2,4,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,37.75031258,-122.4184384,"(37.75031258, -122.4184384)"
2020-015,Potrero Yard Affordable Housing,Pre-Construction,(1) Preliminary Phase,2888 Bryant St,94110,3971,1,9,Mission,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,11/30/2027,,,11/30/2027,,Mission Economic Development Agency,Tabernacle Community Development Corporation,"PY Bryant Street Housing, LP",,,03/15/2024,,99,98,99,0,26,13,34,25,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,37.74853684,-122.4088855,"(37.74853684, -122.4088855)"
2023-012,1500 15th St,Pre-Construction,(3) Design with Entitlements Approved,1500 15th St,94103,3548,"016, 018",9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,01/24/2025,,Chris Elsey,,,2016-011827PRJ,"2016-011827PRJ, 2016-011827ENV, 2016-011827ENX,",01/26/2023,On-site BMR Project; Fee Payment,189,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,7,0,0,0,6,0,0,0,0,37.76700068,-122.4178143,"(37.76700068, -122.4178143)"
2018-015,255 Shipley St,Construction,(5) First Construction Document Issued,255 Shipley St,94107,3753,70,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,09/23/2021,08/12/2022,08/21/2020,,"Reuben, Junius & Rose, LLP",,,2016-012030PRJ,"2016-012030ENV,2016-012030ENX,2016-012030PPA",08/23/2018,On-site BMR Project,24,3,13,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37.77869188,-122.4037084,"(37.77869188, -122.4037084)"
2022-014,1196 Columbus,Pre-Construction,(3) Design with Entitlements Approved,1196 Columbus Ave,94133,43,7,3,North Beach,North Beach,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,09/13/2024,,Elevation Architects,,,2020-006679PRJ,,09/15/2022,On-site BMR Project; Fee Payment,56,10,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,0,37.80497409,-122.4164884,"(37.80497409, -122.4164884)"
2016-079,Casa Adelante at 1515 South Van Ness,Construction,(4) Site Work Permit Issued,1515 South Van Ness Ave,94110,6571,53,9,Mission,Mission,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,08/28/2019,02/14/2025,06/20/2024,06/20/2024,02/14/2025,03/31/2026,Chinatown Community Development Center,Mission Economic Development Agency,"Casa Adelante SVN Housing, L.P.",2023-003263PRJ,"2014.1020CUA,2014.1020ENV,2014.1020U",08/11/2016,,168,167,99,0,15,32,76,44,0,0,27,120,0,0,42,0,42,0,0,40,19,15,0,0,93,0,0,0,0,0,0,0,0,37.74890199,-122.4153676,"(37.74890199, -122.4153676)"
2015-068,1298 Valencia,Construction,(4) Site Work Permit Issued,1298 Valencia St,94110,3633,21,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,01/02/2019,,08/30/2019,,Ian Birchall,,,2013.1404,,08/31/2017,On-site BMR Project; Fee Payment,35,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.75230964,-122.4208888,"(37.75230964, -122.4208888)"
